Authors,Author(s) ID,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords
"Villanueva-Rosario J.A., Santos-García F., Aybar-Mejía M.E., Mendoza-Araya P., Molina-García A.","57388319900;57218296445;57221854933;24724905500;22235006000;",2022,"Applied Energy",3,"10.1016/j.apenergy.2021.118332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121904788&doi=10.1016%2fj.apenergy.2021.118332&partnerID=40&md5=c932c5a7dddfb10405b6cddc990b6e7b","Renewable microgrids provide a remarkable alternative to the general use of centralized generation sources, mostly supported by conventional fossil fuel resources. An advanced microgrid concept is networked microgrids, or multi-microgrids, formed by a group of microgrids. They provide reliability, resilience and robustness to the grid, reducing operational costs. Nevertheless, problems related to variability and uncertainty of these renewables impose remarkable difficulties to control and operate multiple microgrids at distribution and transmission level. Different solutions have been proposed to overcome these drawbacks. Moreover, some contributions suggest coordinated control, architectures and energy management strategies to be applied at networked microgrids. This paper identifies and analyzes aggregated and/or coordinated renewable-based microgrids being able to provide ancillary services, market participation and communication. These characteristics increase grid flexibility and reliability, promoting the variable renewable energy integration. Recent issues, such as cyber-security and cyber-attacks in microgrid networked operation, are also reviewed as for possible research directions in the future. © 2021","Ancillary services; High renewable penetration; Integrated control and communication; Market participation; Networked microgrids","Commerce; Cybersecurity; Energy management; Microgrids; Network security; Ancillary service; Ancillary services markets; Centralized generation; Fossil fuel resources; High renewable penetration; Integrated control and communication; Market participations; Microgrid; Multi micro-grids; Networked microgrid; Fossil fuels; alternative energy; communication; energy management; fossil fuel; integrated approach; market conditions; power generation; strategic approach"
"Liang T., Webley P.A., Chen Y.-C., She X., Li Y., Ding Y.","57388479600;7006466459;57211519355;55939500100;56156518900;57203078526;",2022,"Journal of Cleaner Production",3,"10.1016/j.jclepro.2021.130189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121903902&doi=10.1016%2fj.jclepro.2021.130189&partnerID=40&md5=8492b18757f620e292f7cb2e4e5f7422","This study explores the multiple functions of liquid air energy storage (LAES) in a hybrid renewable micro-grid, which hasn't been covered so far, to decarbonize the distributed energy systems that are increasingly popular. To cope with this, a decoupled off-design LAES model was developed, and integrated into a micro-grid mixed-integer linear programming (MILP) design framework. This methodology enables studying the optimal energy to power ratios of LAES, and the identification of specific value streams of the storage, as well as optimally sizing the micro-grid equipment and LAES units simultaneously, to achieve the balanced economics and environmental benefits. The simulation has led to three major results. Firstly, the optimal charge/discharge power and storage capacity of LAES vary with the services it provides. The optimal charge/discharge energy to power ratio are 8/3 h, 12/6 h and 12/6 h corresponding to the arbitrage, wind stabilization and operating reserve. Secondly, for a micro-grid with ∼50% of wind power, LAES presents the key value in supporting the system operation by providing multiple functions. It is split into six explicit revenue streams that can be stacked up for the first time, including the time shifting (13.2%), renewable firming (11.4%), peak shaving (28%), flexibility (21%) and reserve value (20.4%), as well as the waste heat recovery (6%). Thirdly, in comparison with the mildly reduced LAES capital cost and enlarged electricity price differences, a higher renewable percentage would be a major driving force to increase the attractiveness of LAES in micro-grids. The system design framework can determine the optimal sizes of the micro-grid components and the LAES units. Specifically, the optimal charge/discharge energy to power ratio (27/14 h) and the storage tank size (608 t) of LAES in a micro-grid with 75% wind power are obtained, leading to ∼60% of carbon emission reduction on the 2016 level. The importance of this work lies in it provides the preliminary business model of applying small-scale LAES in hybrid renewable micro-grids, and can promote the optimal deployment of LAES under different scenarios in micro-grids. © 2021","Decoupled liquid air energy storage; Hybrid renewable micro-grid; Mixed-integer linear programming; Optimal design and operation; Optimal energy to power ratio; Storage value breakdown","Costs; Economics; Electric energy storage; Electric power transmission networks; Emission control; Integer programming; Liquefied gases; Waste heat; Waste heat utilization; Wind power; Decoupled liquid air energy storage; Design and operations; Hybrid renewable micro-grid; Integer Linear Programming; Microgrid; Mixed integer linear; Mixed-integer linear programming; Optimal design; Optimal energy; Optimal energy to power ratio; Optimal operation; Power ratio; Storage value breakdown; Optimal systems"
"Chen W., Wang J., Yu G., Chen J., Hu Y.","57779027900;57577207800;57211673914;57219937457;57577877000;",2022,"Applied Energy",2,"10.1016/j.apenergy.2022.119106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128286706&doi=10.1016%2fj.apenergy.2022.119106&partnerID=40&md5=337dd441f772ef243dfa474da5dd8abe","Microgrids are one of the most common forms of distributed energy participation in the electricity market. This paper discusses the lack of market competition among independent microgrids as a factor in setting up a cooperative alliance among microgrids. Independent microgrids aim to minimize the system's overall operating costs. The first principle is to maximize scenery output and consumption. We develop and solve an optimization model to obtain the interactive power with the distribution network and the charging and discharging power arrangement for the energy storage module. We then construct a cooperative game model among multiple microgrids on this basis. Nash bargaining is used to coordinate the distribution of benefits among microgrids, as well as to analyze the optimal trading power and tariffs among microgrids. The research proves that the cooperative game among microgrids can realize the flexible consumption of renewable energy in the region. Microgrids also have lower operating costs. The Nash bargaining helps the members in the coalition to get satisfactory trading power and tariff. Additionally, it effectively improves the overall operational efficiency and market competitiveness of microgrid systems. © 2022","Cooperative game; Multi-microgrid; Nash bargaining; Power trading","Competition; Electric energy storage; Operating costs; Power markets; Cooperative game; Day-ahead; Distributed energies; Game models; Market competition; Microgrid; Multi micro-grids; Nash bargaining; Power; Power trading; Game theory; alternative energy; competitiveness; cooperative sector; electricity; energy market; energy storage; research work"
"Li B., Li X., Su Q.","57778384200;57291209600;55330765500;",2022,"Applied Energy",2,"10.1016/j.apenergy.2021.118013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116873713&doi=10.1016%2fj.apenergy.2021.118013&partnerID=40&md5=fc27a9b1981d690a4855d6a4f557a263","For the isolated island micro grid, a safe and reliable energy supply system is indispensable. Generally speaking, the power generation modules of an small and medium-sized isolated island energy system with off-grid power supply mode mainly include diesel generator(DIG) and distributed power supply. In order to smooth the power output fluctuation of wind and solar, coordinate the output of multiple energy generation technologies, and increase the penetration rate of distributed energy, it is necessary to develop a flexible and reliable energy system, and an efficient and smart scheduling strategy. In this paper, the power-to-gas (P2G) technology is introduced to construct a multi-energy complementary integrated energy system with deep coupling of power-gas network. Four possible game planning models are proposed by using game theory analysis method, and the energy scheduling strategies under each game mode are obtained by particle swarm optimization(PSO). By comparing the scheduling strategies under the four game modes, it can be found that the synergistic response of hydrogen and methane in the alliance cooperative game mode has absolute advantages in reducing the curtailment rate of wind and solar energy, balancing the income of each participant, improving the total income of the system, and saving energy and environmental protection. © 2021 Elsevier Ltd","Coordination and optimization; Distributed energy; Game theory; Isolated island; P2G; Particle swarm optimization","Electric equipment protection; Game theory; Scheduling; Solar energy; Solar power generation; Coordination and optimization; Distributed energies; Energy systems; Isolated islands; Optimisations; P2G; Power; Reliable energy; Scheduling strategies; System strategies; Particle swarm optimization (PSO); detection method; electricity; game theory; integrated approach; methane; power generation"
"Nazir M.I., Hussain I., Ahmad A., Khan I., Mallik A.","57218491517;57195588829;7202040743;57188684032;56941480200;",2022,"Sustainability (Switzerland)",2,"10.3390/su14010126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122161781&doi=10.3390%2fsu14010126&partnerID=40&md5=17d3a6c34794cf6e95f9f84a6bb31cbe","The world today is plagued with problems of increased transmission and distribution (T&D) losses leading to poor reliability due to power outages and an increase in the expenditure on electrical infrastructure. To address these concerns, technology has evolved to enable the integration of renewable energy sources (RESs) like solar, wind, diesel and biomass energy into small scale self-governing power system zones which are known as micro-grids (MGs). A de-centralised approach for modern power grid systems has led to an increased focus on distributed energy resources and demand response. MGs act as complete power system units albeit on a small scale. However, this does not prevent them from large operational sophistication allowing their independent functioning in both grid-connected and stand-alone modes. MGs provide greater reliability as compared to the entire system owing to the large amount of information secured from the bulk system. They comprise numerous sources like solar, wind, diesel along with storage devices and converters. Several modeling schemes have been devised to reduce the handling burden of large scale systems. This paper gives a detailed review of MGs and their architecture, state space representation of wind energy conversion systems & solar photovoltaic (PV) systems, operating modes and power management in a MG and its impact on a distribution network. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Distributed energy sources; Penetration ratio; Power management; Prosumer; Relief factor; State-space representation","alternative energy; architecture; biomass; fossil fuel; landform; penetration; photovoltaic system; reliability analysis"
"Singh K., Singh A.","57209231745;7407709994;",2022,"Applied Energy",1,"10.1016/j.apenergy.2022.119265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130899487&doi=10.1016%2fj.apenergy.2022.119265&partnerID=40&md5=de6a388ebf7fd21fdf57a8fccd37d2b9","The prevailing knowledge-value-intention-action gaps on personal and societal benefits of electric vehicle (EV), challenges an energy user's ability from its wider adoption. This work presents a model to empower an energy user to emerge as an EV-prosumer using vehicle-to-grid(V2G)/ vehicle-to-home(V2H) integration. The proposed algorithm uses an energy user's behavioural attributes ‘knowledge-gap’ and ‘risk-averseness’ to showcase the impact of EVs adoption on personal and societal benefits. Four categories of energy users are defined and considered to model the problem as per their behavioural outlook on EV adoption. The first two energy user categories inactive and active consumers are considered without EV integration. And, the comparative analysis of their personal payoff is discussed with the another two energy user categories considered with EVs: Type I EV-prosumer with single EV, and Type II EV-prosumer with multiple EVs. Further, the impact of an EV prosumer's emergence on societal benefits is discussed for two types of micro-grid (MG) settings: MG-I and MG-II. A mix-integer non-linear programming (MINLP) model is developed to optimize each type of energy user's welfare for V2G/V2H interactions in MG-I and MG-II, respectively. The model results confirm that improvement in the awareness and risk-tolerance ability of an energy user's behaviour on EV adoption empowers them to emerge as a grid-independent entity during the peak hours. Also, the objective function of an inactive user improves by 120%, 163%, and 147.6 % for an active, Type I EV-prosumer, and Type II EV-prosumer, respectively, with improvements in their behavioural parameters by 12.5%, 25%, and 27.5 %, correspondingly. The results show that the incremental welfare of Type I EV-prosumer is 63.5% higher than that of the active user, while for Type II EV-prosumer, it is as low as 25.2% than that of Type I EV-prosumer. © 2022 Elsevier Ltd","Active consumer; EV-prosumer; Inactive consumer; MINLP; Personal benefit; Societal benefit; V2G/V2H","Behavioral research; Economic and social effects; Integer programming; Integration; Active consumer; Electric vehicle-prosume; Energy users; Inactive consumer; Mix-integer non-linear programming; Non-linear programming; Personal benefit; Prosumer; Societal benefits; V2G/V2H; Nonlinear programming; algorithm; behavioral response; electric vehicle; energy use; numerical model"
"Wang H., Tang D.","57362051200;57158232900;",2022,"IOP Conference Series: Earth and Environmental Science",1,"10.1088/1755-1315/984/1/012005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127107074&doi=10.1088%2f1755-1315%2f984%2f1%2f012005&partnerID=40&md5=9894cbb907622bcb8a4132c9e9974c6a","With the increase of cloud computing and internet services, data centers are emerging to satisfy the requirement, leading to incremental energy consumption demand and emissions of green house gases. Thus, integration of renewable energies with the traditional power grid is preferred to reduce the environmental impact and increase energy efficiency, which lead to a demand of energy management strategies to coordinate the energy demand and generation. In this paper, we review the challenges for the sustainable data centers in smart grids with regards to energy management strategies, integration with renewable energies and cyber-attacks and propose possible solutions. Through the analysis of the data centers from the perspective of both smart grids level and micro-grid level, the research challenges and potential research directions in the energy management of sustainable data centers have been discussed. © Published under licence by IOP Publishing Ltd.",,
"Nieves-Uribe S., Llorente-Bousquets J., Flores-Gallardo A.","56880252600;6506197459;56111841900;",2022,"Southwestern Entomologist",1,"10.3958/059.047.0121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127575956&doi=10.3958%2f059.047.0121&partnerID=40&md5=e95e65959d2f6a71828f758211bd24e2","We described and compared the exochorionic structure of two subspecies of Eurema elathea: E. e. vitellina and E. e. flavescens, both with the staining technique and with scanning electron microscopy (SEM). We reexamined the description of E. daira sidonia with new materials from Mexico. In addition, we inspected for the first time the exochorion of this species with SEM. We took photos with the SEM for the three taxa in five regions: micropylar, perimicropylar, apical, equatorial, and basal. The data is also expressed in tabular form. The three taxa present exochorionic characters considered plesiomorphic among Coliadinae as a multiple polygonal grid and the absence of a micro-grid. Also, the similarities between chorionic morphologies agree with the position of these Eurema within the group less derived from the genus, reported with other characters (male genitalia and wings). However, we suggest a broad study of the exochorion in other subgroups and species of the genus to make a more complete comparison with the subgenera proposed so far. © 2022 Southwestern Entomological Society. All rights reserved.",,
"Sun H., Ren Q., Hou J., Zhao Z., Xie D., Zhao W., Meng F.","57781653000;57780601000;57781910600;57781383500;57781127500;57781653100;57781653200;",2022,"International Journal of Low-Carbon Technologies",1,"10.1093/ijlct/ctac039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133482506&doi=10.1093%2fijlct%2fctac039&partnerID=40&md5=527570d547780e0e9597aa54f5dc9cb3","Micro-grid is a promising technology for the energy reform in urban areas. This paper takes a building as a case study to construct a micro-grid system, which includes rooftop photovoltaic and pumped storage systems according to the characteristics of the building. Moreover, the cost-benefit analysis of the commercial building micro-grid system is also performed to obtain an in-depth understanding of the feasibility of the project. According to the characteristics of power load of commercial buildings, the working characteristics of the developed micro-grid and the mathematical model of optimal operation of micro-grid in commercial buildings is constructed. The calculation results from the mathematical model show that the dynamic payback period (PBP) of the micro-grid system of commercial buildings is 4.74 years, while the dynamic PBP of the micro-grid system of battery energy storage is 7.95 years. Therefore, the micro-grid system pumped storage has a much better economy than that with battery energy storage. © 2022 The Author(s) 2022. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com.","dynamic payback period; energy analysis; micro-grid; pumped storage","Battery storage; Electric batteries; Investments; Office buildings; Battery energy storage; Case-studies; Commercial building; Dynamic payback period; Energy analysis; Microgrid; Microgrid systems; Payback periods; Photovoltaics; Pumped Storage; Cost benefit analysis"
"Tseng C.-J., Dwijendra N.K.A., Opulencia M.J.C., Ganieva S., Muda I.","57701955600;57215546911;57204649842;57703016900;6508070248;",2022,"Environmental and Climate Technologies",1,"10.2478/rtuect-2022-0018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130462105&doi=10.2478%2frtuect-2022-0018&partnerID=40&md5=099bb8b57d681c65268f342e62e12f0b","The energy management in energy systems is the main solution for energy companies in order to provide minimization of the energy generation costs and emission polluting. In this work, a multi-criteria optimization model is implemented for minimizing the generation cost and emission in a smart micro grid (SMG) at day-ahead planning. In this modelling, the demand side participates in optimal energy management through two strategies such as demand shifting and onsite generation by the energy storage system (ESS). The optimal participation of demand side is modelled based on energy price in energy market. Implementation of the proposed approach in GAMS software is done, and weight sum method (WSM) is employed for solving multi-criteria optimization. The desired optimal solution of multi-criteria objectives is found via the max-min fuzzy procedure. Finally, confirmation of the proposed approach is analysed by numerical simulation in two case studies. © 2022 Cheng-Jui Tseng et al., published by Sciendo.","Energy management; max-min fuzzy procedure; multi-criteria optimization; optimal participation of demand side; weight sum method (WSM)","demand analysis; demand-side management; energy market; energy policy; fuzzy mathematics; multicriteria analysis; numerical model; power generation"
"Ahmed M.A., Kandil T., Ahmed E.M.","57203723261;6506750993;36682064900;",2022,"Sustainability (Switzerland)",1,"10.3390/su14020859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122851063&doi=10.3390%2fsu14020859&partnerID=40&md5=a3ff7373d286f387c2e4c0890bced125","Some of the major challenges facing micro-grids (MGs) during their connection with the utility grid are maintaining power system stability and reliability. One term that is frequently dis-cussed in literature is the low-voltage ride-through (LVRT) capability, as it is required by the utility grid to maintain its proper operation and system stability. Furthermore, due to their inherent ad-vantages, doubly fed induction generators (DFIGs) have been widely installed on many wind farms. However, grid voltage dips and distortion have a negative impact on the operation of the DFIG. A dynamic voltage restorer (DVR) is a commonly used device that can enhance the LVRT capability of DFIG compared to shunt capacitors and static synchronous compensator (STATCOM). DVR im-plements a series compensation during fault conditions by injecting the proper voltage at the point of common coupling (PCC) in order to preserve stable terminal voltage. In this paper, we propose a DVR control method based on the adaptive noise cancelation (ANC) technique to compensate for both voltage variation and harmonic mitigation at DFIG terminals. Additionally, we propose an online control of the DC side voltage of the DVR using pulse width modulation (PWM) rectifier to reduce both the size of the storage element and the solid-state switches of the DVR, aiming to reduce its overall cost. A thorough analysis of the operation and response of the proposed DVR is per-formed using MATLAB/SIMULINK under different operating conditions of the grid. The simulation results verify the superiority and robustness of the proposed technique to enhance the LVRT capability of the DFIG during system transients and faults. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Adaptive noise cancelation technique (ANC); Doubly fed induction generator (DFIG); Dynamic voltage restorer (DVR); Low-voltage ride-through (LVRT) capability","detection method; instrumentation; large eddy simulation; operations technology; simulation; software; wavelength"
"Singh A., Basak P.","57212846155;16511979100;",2022,"Energy",1,"10.1016/j.energy.2021.121711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113618835&doi=10.1016%2fj.energy.2021.121711&partnerID=40&md5=5b51981ba4965e42cf5b2a05a65f90eb","To find a sustainable municipal solid waste (MSW) management and renewable electricity generation system is need of the hour. In modern hybrid electricity generation systems, the use of MSW on priority is not evaluated yet. To satisfy this need, a small scale MSW based microgrid is proposed and evaluated in economic and reliability terms. First, the waste of the selected city is characterized considering four seasons summer, spring, autumn and winter for a complete year. Then a microgrid system is designed using MSW processing techniques namely, anaerobic digestion (AD) and gasification that are further integrated with solar photovoltaic (PV) system, battery and the main grid. The size of the microgrid is optimized using an artificial bee colony (ABC) algorithm targeting the configuration that meets the desired system reliability requirements with minimum cost. The proposed system found as a sustainable approach to process the MSW of a small city (0.1 million population) and a reliable mean to fulfill the electricity demand of a village having 225 houses in India. The annualized system cost (ASC) of the proposed hybrid system found to be INR 5760919 with levelized cost of electricity (LCOE) 5.65 INR/kWh (0.0737 USD/kWh). The total MSW landfilling avoided cost is 451898.9 INR/year that is 17% of its processing cost. © 2021 Elsevier Ltd","Economic analysis; Microgrid; MSW; Optimization; Renewable energy","Anaerobic digestion; Economic analysis; Electric power generation; Hybrid systems; Microgrids; Municipal solid waste; Reliability; Solar power generation; Wind power; Economics analysis; Electricity-generation system; Micro grid; Micro-grid systems; Municipal solid waste management; Optimisations; Renewable electricity; Renewable energies; Small scale; Techno-economic evaluation; Optimization; algorithm; anaerobic digestion; conceptual framework; design; electricity generation; municipal solid waste; photovoltaic system; smart grid; India"
"Seyedhossein S.S., Moeini-Aghtaie M.","57704427700;42262286800;",2022,"Energy",,"10.1016/j.energy.2022.125264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137057265&doi=10.1016%2fj.energy.2022.125264&partnerID=40&md5=b9b725a86953990b4b2bf605a27a0c03","Due to the acceleration of energy transition from fossil fuels to Distributed Energy Resources (DERs), the structure of the power industry (mainly generation and distribution) is changing. The emergence of the smart grid concept and Peer-to-Peer (P2P) electricity markets make local producers and consumers face new challenges and risks. Managing the risks that the participants in P2P markets are encountered is necessary to guarantee a sustainable penetration of such markets. This article provides a comprehensive risk analysis by implementing a proposed risk management framework to address the identification, classification, assessment, and mitigation of all risks that prosumers will face when participating in a P2P electricity market. The main risk factors have been investigated in an elaborated way through risk assessment and preliminary suggestions for risk mitigation. Ten risks have been identified and categorized into three main groups. The proper potential responses are addressed for each assessed risk to mitigate the impact of risk associated with participation in the P2P electricity market. Studying the risks from a prosumer's point of view, considering management of those risks in the context of micro-grid scheduling/optimization, and designing the mechanism of the P2P electricity trading market will enhance the acceptance of participating in these markets. Moreover, further research opportunities and directions regarding risk management concepts in P2P electricity markets are discussed. © 2022","Participant's preferences; Peer-to-Peer electricity market; Prosumer communities; Risk management","Electric industry; Electric power transmission networks; Fossil fuels; Power markets; Risk analysis; Risk assessment; Scheduling; Smart power grids; Distributed Energy Resources; Energy transitions; Participant preference; Peer to peer; Peer-to-peer electricity market; Power industry; Prosume community; Prosumer; Risk management framework; Risks management; Risk management; electricity; emergence; participatory approach; risk assessment"
"Wang B., Yu X., Xu H., Wu Q., Wang L., Huang R., Li Z., Zhou Q.","57210992500;57208874182;16199134500;57856539800;57069877100;57856539900;57200525628;56136932700;",2022,"Applied Energy",,"10.1016/j.apenergy.2022.119873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136455888&doi=10.1016%2fj.apenergy.2022.119873&partnerID=40&md5=046267d136a45e2b6a739d405c314eba","To fully exploit the potential of decarburization in the transport sector (e.g., electric vehicles (EV)) and energy sector (e.g., building energy system), this paper proposes a new concept of ‘Vehicle-to-Micro-Grid (V2μG) network’ that incorporates the off-grid building energy system with flexible power storage/supply provided by battery EVs (BEVs) and fuel cell EVs (FCEVs). The work is conducted with three main contributions: 1) a rule-based energy management strategy is proposed to study the impact of the V2μG interactions on the EV battery degradation; 2) a scenario analysis based on four working modes is conducted to evaluate the energy efficiency, costing, environmental impacts, and component ageing of the proposed V2μG network; 3) the optimum settings for system configuration, capacity, and operation strategy of the V2μG network are obtained by the NSGA-II algorithm. The study suggested that the degradation of lithium-ion batteries in BEV can be reduced by 13% compared to the network without FCEVs. In a community with 160 households and 200 EVs, the optimal V2μG network can reduce carbon dioxide emissions by 515.56 tons annually compared to the conventional off-grid building energy system powered by internal combustion engines. © 2022","Electric vehicles; Energy storage; Off-grid building energy system; Vehicle-to-grid network","Carbon dioxide; Electric energy storage; Electric power transmission networks; Electric vehicles; Energy efficiency; Energy management; Energy management systems; Environmental impact; Fuel storage; Global warming; Lithium-ion batteries; Vehicle-to-grid; Building energy systems; Grid network; Microgrid; Off-grid building energy system; Off-grids; Scenario management; Scenario optimizations; Scenarios analysis; Vehicle to grids; Vehicle-to-grid network; Fuel cells; alternative energy; combustion; electric vehicle; energy management; energy storage; fuel cell; optimization; scenario analysis"
"Giri N.C., Mohanty R.C.","57726754000;37048901800;",2022,"Energy for Sustainable Development",,"10.1016/j.esd.2022.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134837086&doi=10.1016%2fj.esd.2022.07.003&partnerID=40&md5=6c985e24c31ade1602f9dea550e7adf2","Energy and food security is alarmed by the influences of climate change, population, and world economic growth. In this perspective, the co-located agrivoltaic system, a nexus of photovoltaic and agriculture production, is more suitable to achieve the Sustainable Development Goals of a country like India. An experimental investigation has been conducted at CUTM, Odisha through a portable and adjustable agrivoltaic system of 0.675 kWp capacity in 11 m2 of land area to study the enhancement of land productivity and revenue of farmers or/and investors. This system provides an underneath farming of 1.5 kg turmeric as a shadow tolerant medicinal crop. Major performance indicators of the project such as land equivalent ratio, benefit-cost ratio, price-performance ratio, and payback period have been found as 1.73, 1.71, 0.79, and 9.49 years respectively. Further, the temperature level is decreased by 1–1.5 °C resulting in the improvement of the energy generation in the system and successfully tested in dual DC micro-grid solutions having two 12 V 75 Ah solar tubular batteries. This work can be extended to different scales of agrivoltaic systems with suitable crops in th farmers' land, as they are the end-users of this co-located system. © 2022 International Energy Initiative","Agrivoltaic system; Energy-food production; Land productivity; Revenue; Solar photovoltaic","Climate change; Cost benefit analysis; Economics; Food supply; Investments; Population statistics; Productivity; Solar power generation; Agrivoltaic system; Co-located; Economic growths; Energy; Energy-food production; Experimental analysis; Food production; Food security; Land productivities; Solar photovoltaics; Crops; agricultural production; agricultural worker; energy use; experimental study; photovoltaic system; solar power; Sustainable Development Goal; India; Odisha"
"Chen X., Dong W., Yang Q.","57221392727;57189246949;57189235801;",2022,"Applied Energy",,"10.1016/j.apenergy.2022.119642","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134624131&doi=10.1016%2fj.apenergy.2022.119642&partnerID=40&md5=c87af89fd959b2c37400daac75cbd537","Microgrid is considered an efficient paradigm for managing the massive number of distributed renewable generation and storage facilities. The optimal microgrid capacity planning is a non-trivial task due to the impact of randomness and uncertainties of renewable generation sources, and the adopted energy management strategies. In this paper, an optimal capacity planning model for the grid-connected microgrid is developed fully considering the renewable generation uncertainties through efficient scenario generation and reduction based on the deep convolutional generative adversarial network (DCGAN) and improved k-medoids clustering algorithm, as well as the microgrid energy management strategy. The proposed solution optimizes the capacity planning for the maximization of renewable energy utilization efficiency, and minimizes the economic cost and carbon emissions. The proposed solution is assessed using a case study of a microgrid (MG) project in northern China through a comparative study and the numerical results confirm the cost-effectiveness of the proposed solution. © 2022 Elsevier Ltd","Capacity configuration; Carbon emission; DCGAN; k-medoids; Microgrid planning; Multi-objective particle swarm optimization (MOPSO); Scenario generation; Scenario reduction","Carbon; Clustering algorithms; Cost effectiveness; Energy efficiency; Energy utilization; Generative adversarial networks; Microgrids; Multiobjective optimization; Particle swarm optimization (PSO); Capacity configuration; Carbon emissions; Deep convolutional generative adversarial network; K-medoids; Micro-grid planning; Microgrid; Multi objective particle swarm optimization; Multi-objective particle swarm optimization; Scenario reductions; Scenarios generation; Energy management; alternative energy; carbon emission; comparative study; energy planning; energy storage; scenario analysis; smart grid; uncertainty analysis; China"
"Nawaz A., Zhou M., Wu J., Long C.","57208134443;57195733023;56428178500;8718008500;",2022,"Applied Energy",,"10.1016/j.apenergy.2022.119596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134291452&doi=10.1016%2fj.apenergy.2022.119596&partnerID=40&md5=a6af5903e34aaa2946e231a89864279f","The multi-microgrids (MMGs) concept has recently got more attention due to its features of accommodating large-scale integration of renewable generation with efficient utilization, improved power system efficiency, reliability and stability performance through coordination and cooperation of energy exchange among the microgrids (MGs) and the main grid. Moreover, utilization of demand response programs in MMG structure can also bring wide range of potential economic benefits to system operation and stability. However, various factors including electrical load variation, the unpredictable nature of renewable energy resources, the coordinated energy trading among microgrids and cyber-attacks on communication based coordinated control can pose great challenge to achieve stable, effective, secure and optimal operation of power system. In this paper, we provide a comprehensive review on the contemporary multi-microgrid architectures, energy management functionalities and multi-objectives energy management schemes in MMGs. Also, an overview of demand side management techniques and coordination schemes incorporating energy transaction and resilience operation in MMGs is provided. The importance of cyber-security in MMGs is highlighted and different attacks are reported. Finally, future recommendations on contemporary literature are provided. © 2022 Elsevier Ltd","Cyber-attacks; Demand response program; Energy coordination; Energy management system; Future trends; Multi-microgrids","Computer crime; Crime; Cyber attacks; Energy efficiency; Energy management; Network security; Renewable energy resources; System stability; Coordination scheme; Cyber-attacks; Demand response; Demand response programs; Energy; Energy coordination; Future trends; Multi micro-grids; Renewable generation; Energy management systems; alternative energy; demand-side management; energy management; future prospect"
"Laing H., O'Malley C., Browne A., Rutherford T., Baines T., Moore A., Black K., Willis M.J.","57221302419;16744016500;57221300527;57221302468;57221300781;56727268500;57201156327;35588192700;",2022,"Energy",,"10.1016/j.energy.2022.124577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133238025&doi=10.1016%2fj.energy.2022.124577&partnerID=40&md5=b0fb499a5b78245dc176baa64fed87dc","This paper proposes a realistic model for energy and carbon management of an advanced municipal wastewater treatment works. Through minimisation of total cost of operations, it provides operators with a visual daily operational schedule based on varying tariffs. This site is the first in the UK with a mixed operational strategy for biomethane produced on site: to burn in CHP (Combined Heat and Power) engines to create electricity, burn in Steam Boilers for onsite steam use or inject the biomethane into the gas distribution network - Natural Gas can be imported to make up shortfalls in biomethane if required. Implemented using a novel mixed integer linear programming (MILP) approach, results indicate that biomethane injection should be maximised for the highest financial gain - the driving force for optimising the remaining operations being the site electricity imports and whether the electricity imported ‘generates’ carbon emissions. Based on the source of electricity and the new carbon emissions performance criteria, under the current operational strategy importing electricity from carbon-based sources has no tangible impact on site revenues (but does impact CO2 emissions), however carbon free (renewable) electricity sources could see shift in operations leading a revenue increase of 12% © 2022 The Authors","Biomethane; Energy optimisation; Micro-grid; Mixed integer linear programming; Wastewater","Cogeneration plants; Energy utilization; Engines; Integer programming; Wastewater treatment; Biomethane; Burn-in; Carbon emissions; Energy optimization; Integer Linear Programming; Microgrid; Mixed integer linear; Mixed integer linear programming; Operational strategies; Optimisations; Carbon; anaerobic digestion; carbon emission; energy use; optimization; wastewater; wastewater treatment plant"
